
(s: Eighteen Foot Spear, h: Crystal Tiara, c: Battle Suit, a: Plasma Arc, l: Feather Boots, y: Laced Quiver,len: 22)
Dock, Pond, Beach, Uptown, Cemetery, 
Dock, Pond, Beach, Uptown, Forest,
Dock, Pond, Uptown, Alley, Cemetery,
Dock, Pond, Uptown, Alley, Forest,
Dock, Pond, Uptown, Hotel, Temple,
Dock, Pond, Uptown, Temple, Cemetery,
Dock, Pond, Uptown, Temple, Forest,
Dock, Pond, Hotel, Temple, Archery Range,
Dock, Beach, Uptown, Alley, Cemetery,
Dock, Beach, Uptown, Alley, Forest,
Dock, Beach, Uptown, Hotel, Temple,
Dock, Beach, Uptown, Hotel, Cemetery,
Dock, Beach, Uptown, Hotel, Forest,
Dock, Beach, Uptown, Avenue, Cemetery,
Dock, Beach, Uptown, Avenue, Forest,
Dock, Beach, Uptown, Hospital, Cemetery,
Dock, Beach, Uptown, Hospital, Forest,
Dock, Beach, Uptown, Temple, Cemetery,
Dock, Beach, Uptown, Temple, Forest,
Dock, Beach, Uptown, Archery Range, Cemetery,
Dock, Beach, Uptown, Archery Range, Forest,
Dock, Beach, Uptown, Cemetery, Forest,
Dock, Beach, Uptown, Cemetery, Factory,
Dock, Beach, Uptown, Cemetery, Chapel,
Dock, Beach, Uptown, Cemetery, School,
Dock, Beach, Uptown, Forest, Factory, 
Dock, Beach, Uptown, Forest, Chapel,
Dock, Beach, Uptown, Forest, School,
Dock, Beach, Hotel, Temple, Archery Range,
Dock, Beach, Hotel, Archery Range, Cemetery,
Dock, Beach, Archery Range, Cemetery, School,
Dock, Uptown, Alley, Hotel, Temple,
Dock, Uptown, Alley, Hotel, Cemetery,
Dock, Uptown, Alley, Hotel, Forest,
Dock, Uptown, Alley, Avenue, Cemetery,
Dock, Uptown, Alley, Avenue, Forest,
Dock, Uptown, Alley, Hospital, Cemetery,
Dock, Uptown, Alley, Hospital, Forest,
Dock, Uptown, Alley, Temple, Cemetery,
Dock, Uptown, Alley, Temple, Forest,
Dock, Uptown, Alley, Archery Range, Cemetery,
Dock, Uptown, Alley, Archery Range, Forest,
Dock, Uptown, Alley, Cemetery, Forest,
Dock, Uptown, Alley, Cemetery, Factory,
Dock, Uptown, Alley, Cemetery, Chapel,
Dock, Uptown, Alley, Cemetery, School,
